Incident Date,State,City Or County,Address,# Killed,# Injured
2017-11-17,Louisiana,New Iberia,900 Block of Mississippi St,0,4
2017-11-18,Minnesota,Minneapolis,3600 block of Emerson Avenue North,0,4
2017-11-24,Ohio,Cleveland,11618 Buckeye Rd,1,5
2017-11-24,Mississippi,Brookhaven,119 Martin Street,1,6
2017-11-30,Michigan,Detroit,11000 block of Gunston,1,4
2017-12-02,Michigan,Detroit,5200 Woodward Avenue,0,4
2017-12-03,Tennessee,Memphis,656 Marshall Ave,1,3
2017-12-04,Pennsylvania,Pittsburgh,7200 block of Everton St,2,2
2017-12-06,Illinois,Chicago,4620 N Broadway,0,4
2017-12-09,Massachusetts,Boston,Proctor St,0,4
2017-12-12,Texas,Garland,1301 Rivercrest Ln,0,4
2017-12-12,Kentucky,Louisville,17th and Gallagher Streets,0,4
2017-12-13,Ohio,Columbus,200 block of E Barthman Ave,1,3
2017-12-15,California,Pacoima,13041 Jouett Street,0,5
2017-12-16,Mississippi,Mc Cool (Mccool),Ferguson Rd,0,4
2017-12-21,Pennsylvania,Philadelphia,6600 block of Dorel St,1,3
2017-12-21,Louisiana,Lafayette,1500 block of N University Avenue,0,4
2017-12-23,Alabama,Birmingham,3rd Ave N and 9th St N,0,4
2017-12-23,Louisiana,Eunice,100 block of City Avenue,1,3
2017-12-24,Alabama,Troy,100 block of Chapman St,1,4
2017-12-24,Mississippi,Vicksburg,1111 Mulberry Street,0,5
2017-12-26,Florida,Miami,NW 18th Ave and 86th Ter,0,5
2017-12-27,Nevada,Las Vegas,3750 E Bonanza Rd,2,2
2017-12-31,New Jersey,Long Branch,635 Wall St,4,0
2017-12-31,Illinois,Chicago,2335 Howard St,0,4
2017-12-31,Colorado,Littleton (Highlands Ranch),3404 E County Line Rd,2,6
2018-01-01,Alabama,Huntsville,2025 Sparkman Dr NW,1,3
2018-01-04,Arkansas,Brinkley,615 W 6th St,1,3
2018-01-05,Mississippi,Hattiesburg,6168 US 49,0,6
2018-01-07,Alabama,Union Springs,U.S. Highway 29,1,5
2018-01-07,Florida,Plantation,5225 W Broward Blvd,0,4
2018-01-11,Missouri,Saint Robert (St Robert),St Robert Outer Road and Houston Road,2,2
2018-01-12,Tennessee,Nashville,2614 Jenkins Ct,3,2
2018-01-14,Alabama,Madison,101 Westchester Dr,0,4
2018-01-14,Alabama,Eutaw,809 Mesopotamia St,1,4
2018-01-15,Florida,Alachua,14223 NW 156th Pl,0,5
2018-01-17,District of Columbia,Washington,2000 block of 16th St SE,1,3
2018-01-21,Illinois,Chicago,3200 W Division St,0,4
2018-01-21,Florida,Orlando,3101 Willow Bend Blvd,0,4
2018-01-23,Kentucky,Benton,416 High School Rd,2,14
2018-01-23,Pennsylvania,Philadelphia,N 24th St and Ridge Ave,0,4
2018-01-25,District of Columbia,Washington,1600 block of Kenilworth Ave NE,0,4
2018-01-27,Kentucky,Bowling Green,645 Pearl Street,0,4
2018-01-27,California,Los Angeles,243 East 119th St,0,5
2018-01-28,Pennsylvania,Reading,123 S 3rd St,4,0
2018-01-28,Indiana,Indianapolis,1313 N Sherman Dr,2,3
2018-01-28,Pennsylvania,Melcroft,1301 Indian Creek Valley Rd,5,0
2018-01-31,Missouri,Saint Louis,Goodfellow Blvd and Dr Martin Luther King Dr,0,4
2018-02-03,Ohio,Cleveland (Garfield Heights),11321 Broadway Ave,1,5
2018-02-05,Colorado,Colorado Springs,4225 Galley Rd,2,4
2018-02-07,Florida,Lake Worth (Lantana),I-95 and Lantana Ave,3,3
2018-02-10,Kentucky,Paintsville,413 Mill Street,5,0
2018-02-11,Michigan,Detroit,19432 Lamont Street,4,3
2018-02-13,Louisiana,New Orleans,5400 block of Andry Street,3,3
2018-02-14,Florida,Pompano Beach (Parkland),5901 Pine Island Rd,17,17
2018-02-16,Oklahoma,Oklahoma City,S Pennsylvania Ave and SW 15th St,1,3
2018-02-17,Tennessee,Memphis,3188 N Watkins Ave,0,5
2018-02-17,Kansas,Kansas City,1615 Minnesota,1,7
2018-02-18,Texas,San Antonio,2893 Cinema Ridge,0,5
2018-02-23,Florida,Palm Beach Gardens (Riviera Beach),W 23rd St,1,3
2018-02-26,Michigan,Detroit,22000 block of Fenkell Ave,5,0
2018-02-27,Connecticut,Bridgeport,1306 Stratford Ave,0,4
2018-03-03,Florida,Miami,1300 Block of NW 62nd Ln,0,4
2018-03-03,New York,Brooklyn,Kings Highway and Utica Avenue,1,3
2018-03-04,Illinois,Rockford,400 Howard Ave,1,4
2018-03-07,Alabama,Hurtsboro,531 Main Street,2,2
2018-03-09,North Carolina,Wadesboro,1300 E Caswell St,3,1
2018-03-11,Michigan,Saginaw,Cumberland Ave and Hess St,0,5
2018-03-11,Indiana,South Bend,800 block of E Dayton St,0,6
2018-03-11,Illinois,Champaign,700 block of N Hickory St,1,3
2018-03-12,California,Modesto,2000 block of Robertson Rd,0,4
2018-03-13,Florida,Macclenny,South Blvd,0,4
2018-03-17,Illinois,Harvey,16700 S Halsted St,0,4
2018-03-17,Kentucky,Louisville,2928 W Kentucky St,0,7
2018-03-21,California,San Francisco,949 Geneva Ave,1,5
2018-03-24,Utah,Salt Lake City (West Valley City),3180 South 5600 West,0,4
2018-03-29,Texas,Plano,7401 Alma Dr,1,3
2018-03-29,New Jersey,Camden,Kaighn Ave and Haddon Ave,0,4
2018-03-31,New Jersey,Asbury Park,Atlantic Ave and Monmouth Ave,0,5
2018-04-01,Alabama,Mobile,3556 Halls Mill Rd,1,4
2018-04-01,Michigan,Saginaw,600 block of Yale St,0,5
2018-04-02,Texas,Houston,8500 block of Redcliff Rd,1,3
2018-04-04,Louisiana,New Orleans,3300 Garden Oaks Drive,2,2
2018-04-06,Virginia,Virginia Beach,5800 block of Pickering St,1,3
2018-04-06,Florida,Jacksonville,6100 block of Transylvania Ave,0,4
2018-04-08,Florida,Miami,1300 block of NW 63rd Terrace,2,2
2018-04-08,North Carolina,Hickory,247 1st Ave NW,1,3
2018-04-09,California,Vallejo,201 Maine St,0,4
2018-04-15,Louisiana,Shreveport,6956 Jewella Ave,0,6
2018-04-18,North Carolina,Asheville,73 Hansel Ave,4,3
2018-04-20,California,San Francisco,3rd Street and Quesada Ave,1,5
2018-04-21,Pennsylvania,Philadelphia,1800 block of W Diamond St,2,2
2018-04-22,Louisiana,New Orleans,1900 block of St Roch Ave,1,5
2018-04-22,Tennessee,Antioch,3571 Murfreesboro Pike,4,3
2018-04-24,Michigan,Flint,2200 block of Ave A,0,4
2018-04-25,Missouri,Saint Louis,1151 Northdale Dr,3,1
2018-04-25,Arkansas,Pine Bluff,300 block of West 24th Street,0,4
2018-04-28,North Carolina,Maxton,Modest Rd,0,5
2018-04-29,Florida,West Palm Beach,1969 S Military Trail,1,3
2018-04-29,North Carolina,Monroe,1500 block of Massey St,1,3
2018-04-29,Washington,Seattle (Skyway),12603 Renton Ave S,2,2
2018-04-29,Tennessee,Wartburg,519 South Kingston St,0,4
2018-04-30,District of Columbia,Washington,3600 block of New York Ave NE,0,4
2018-04-30,Florida,Pompano Beach,4251 N Dixie Hwy,0,4
2018-05-01,Louisiana,New Orleans,3200 block of Saint Claude Ave,0,5
2018-05-02,New York,Brooklyn,Bristol St,1,4
2018-05-02,Minnesota,Minneapolis,2400 block of Ogema Place,0,6
2018-05-02,Illinois,Chicago,3500 block of W Grenshaw St,1,4
2018-05-04,Illinois,Chicago Heights,200 block of E 23rd St,0,4
2018-05-04,North Carolina,Henderson,519 Hilliard St,0,4
2018-05-05,Georgia,Columbus,4944 Sentry Street,0,5
2018-05-06,Oklahoma,Stillwater,2020 East Lakeview Road,0,4
2018-05-06,Tennessee,Memphis,499 North Watkins,2,4
2018-05-07,California,San Diego,15th St and J St,0,5
2018-05-09,Missouri,Saint Louis,5200 block of Minerva Avenue,0,4
2018-05-09,Nebraska,Omaha,Sahler St and N 48th St,0,4
2018-05-11,Oklahoma,Talihina,2nd St and Dallas St,1,4
2018-05-11,Missouri,Saint Louis,4800 block of Farlin Ave,0,4
2018-05-12,Nebraska,Omaha,3201 Decatur St,0,6
2018-05-12,New Jersey,Paulsboro,275 W Buck St,0,4
